subjectId,الاسم في الملف (خطأ),وحدات,دروس,المادة (مقترحة),ثقة,الصف — املأه,عينة وحدات
3000,دراسات إسلامية - توحيد,4,89,الدراسات الإسلامية,12,,دراسات إسلامية - توحيد | دراسات إسلامية - الفقه والسلوك | القرآن الكريم | القرآن الكريم (التحفيظ)
3003,دراسات إسلامية - توحيد,5,101,الدراسات الإسلامية,10,,دراسات إسلامية - توحيد | دراسات إسلامية  - الحديث والسيرة | دراسات إسلامية - الفقه | القرآن الكريم | القرآن الكريم (التحفيظ)
3001,دراسات إسلامية - توحيد,4,85,الدراسات الإسلامية,8,,دراسات إسلامية - توحيد | دراسات إسلامية - الفقه والسلوك | القرآن الكريم | القرآن الكريم (التحفيظ)
3004,دراسات إسلامية - توحيد,6,205,الدراسات الإسلامية,8,,دراسات إسلامية - توحيد | دراسات إسلامية - الحديث والسيرة | دراسات إسلامية - الفقه | القرآن الكريم | القرآن الكريم (التحفيظ)
1141,الأدب القديم,2,37,الدراسات الإسلامية,7,,الأدب القديم | الأدب الحديث
3005,دراسات إسلامية - توحيد,6,185,الدراسات الإسلامية,7,,دراسات إسلامية - توحيد | دراسات إسلامية - الحديث والسيرة | دراسات إسلامية - الفقه | القرآن الكريم | القرآن الكريم (التحفيظ)
912,أحكام وآداب القضاء,6,40,الدراسات الإسلامية,6,,أحكام وآداب القضاء | فقه النوازل | البحث الفقهي | خصائص التشريع الإسلامي ومميزاته | القواعد الفقهية
1293,الخيار والعقود المسماة,16,34,الدراسات الإسلامية,3,,الخيار والعقود المسماة | توثيق الديون ونقلها | مبادئ علم أصول الفقه والحكم | تفصيل أحكام الورثة في الميراث | الحكم الشرعي
1503,الشركات,10,44,الدراسات الإسلامية,2,,الشركات | أحكام النكاح | الجنايات | الفرقة الزوجية | مقدمة في الفقه
309,آداب وسلوك,8,24,الدراسات الإسلامية,1,,آداب وسلوك | آداب التعامل | اتصالات ومواصلات | أحب العمل | أقاربي
1312,الإيمان,8,24,الدراسات الإسلامية,1,,الإيمان | الإيمان بالله تعالى | الإيمان بالملائكة عليهم السلام | الإيمان بالكتب | الإيمان بالرسل عليهم السلام
1420,المهارات الوظيفية (2),4,15,الدراسات الإسلامية,1,,المهارات الوظيفية (2) | المهارات الوظيفية (1) | السلوك الوظيفي | ثقافة العمل
4441,أقاربي,8,24,الدراسات الإسلامية,1,,أقاربي | أصدقائي وجيراني | آداب وسلوك | وطني السعودية | محاصيل من بلادي
4391,وحدة تعزيز المهارات,11,113,الرياضيات,69,,وحدة تعزيز المهارات | الجبر : الأعداد النسبية | الاحتمالات | الإحصاء | الأعداد الحقيقية ونظرية فيثاغورس
4223,الجبر و الدوال,9,85,الرياضيات,37,,الجبر و الدوال | الأعداد الصحيحة | الجبر : المعادلات الخطية والدوال | تطبيقات النسبة المئوية | الإحصاء
528,العمليات على الكسور الاعتيادية,10,94,الرياضيات,35,,العمليات على الكسور الاعتيادية | النسبة والتناسب | النسب المئوية والاحتمالات | الهندسة: الزوايا والمضلعات | القياس: المحيط والمساحة والحجم
4049,القيمة المنزلية,12,113,الرياضيات,35,,القيمة المنزلية | الجمع والطرح | الضرب | القسمة | الإحصاء والاحتمال
277,الطرح,13,97,الرياضيات,32,,الطرح | طرائق الجمع والطرح | القيمة المنزلية | القياس | أنماط الأعداد
4141,الجبر: الأنماط العددية والدوال,10,94,الرياضيات,31,,الجبر: الأنماط العددية والدوال | الإحصاء والتمثيلات البيانية | العمليات على الكسور العشرية | العمليات على الكسور الاعتيادية | النسبة والتناسب
459,الإحصاء والاحتمال,12,113,الرياضيات,30,,الإحصاء والاحتمال | القواسم والمضاعفات | جمع الكسور وطرحها | وحدات القياس | الأشكال الهندسية
4399,القيمة المنزلية,11,99,الرياضيات,29,,القيمة المنزلية | الجمع | الطرح | القسمة (1) | القسمة (2)
423,القسمة (1),11,99,الرياضيات,24,,القسمة (1) | القسمة (2) | القياس | الأشكال الهندسية | عرض البيانات وتفسيرها
4393,القيمة المنزلية حتى 100 والأنماط,13,117,الرياضيات,24,,القيمة المنزلية حتى 100 والأنماط | طرائق الجمع | طرائق الطرح | تمثيل البيانات وقراءتها | القياس: النقود والزمن
4690,القيمة المنزلية,12,111,الرياضيات,23,,القيمة المنزلية | الجمع والطرح | تنظيم البيانات وعرضها وتفسيرها | الأنماط والجبر | القسمة على عدد من رقم واحد
